Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"M5046.State.MD_State1","DB50.DINT1370",Long,1,RO,100,,,,,,,,,,"M5046码垛状态1",
"M5046.State.MD_State2","DB50.DBB1374",Byte,1,RO,100,,,,,,,,,,"M5046码垛状态2",
"M5046.State.MS_RUN2","Q119.7",Boolean,1,RO,100,,,,,,,,,,"5046MS可以行走",
"M5046.State.MS5046_1","I153.1",Boolean,1,RO,100,,,,,,,,,,"5046气缸高位",
"M5046.State.MS5046_2","I153.3",Boolean,1,RO,100,,,,,,,,,,"5046气缸低位",
"M5046.State.Need_Num","DB50.DBB1367",Byte,1,RO,100,,,,,,,,,,"M5046要取数量",
"M5046.State.PH1","I153.2",Boolean,1,RO,100,,,,,,,,,,"5046减速光电",
"M5046.State.PH2","I153.4",Boolean,1,RO,100,,,,,,,,,,"5046到位光电",
"M5046.State.PH3","I153.6",Boolean,1,RO,100,,,,,,,,,,"5046对射保护光电",
"M5046.State.READY","Q37.3",Boolean,1,RO,100,,,,,,,,,,"5046准备好",
"M5046.State.ReversalRun","DB70.DBX91.7",Boolean,1,RO,100,,,,,,,,,,"M5046反转运行",
"M5046.State.Runing","DB70.DBX90.0",Boolean,1,RO,100,,,,,,,,,,"M5046设备运行标志",
"M5046.State.RUNNING","Q37.1",Boolean,1,RO,100,,,,,,,,,,"5046移栽中",
"M5046.State.SelectPlace","DB70.DBX90.7",Boolean,1,RO,100,,,,,,,,,,"M5046选中位",
"M5046.State.YX_DX","DB50.DBB1365",Byte,1,RO,100,,,,,,,,,,"M5046码垛垛型",
"M5046.State.YX_Num","DB50.DBB1366",Byte,1,RO,100,,,,,,,,,,"M5046烟箱数量",
"M5046.State.YX_Type","DB50.DBB1364",Byte,1,RO,100,,,,,,,,,,"M5046烟箱类型",
"M5046.State.YZ_OK3","Q120.0",Boolean,1,RO,100,,,,,,,,,,"5046移栽OK",
"M5046.Task.Code","DB50.DINT1352",Long,1,RO,100,,,,,,,,,,"M5046托盘条码",
"M5046.Task.DestSta","DB50.DBW1360",Short,1,RO,100,,,,,,,,,,"M5046目标地址",
"M5046.Task.StartSta","DB50.DBW1358",Short,1,RO,100,,,,,,,,,,"M5046起始地址",
"M5046.Task.Task","DB50.DBW1350",Short,1,RO,100,,,,,,,,,,"M5046任务号",
"M5046.Task.TpType","DB50.DBW1356",Short,1,RO,100,,,,,,,,,,"M5046货物类型",
"M5047.Alarm.B_Fault","DB50.DBX1392.4",Boolean,1,RO,100,,,,,,,,,,"M5047后超长",
"M5047.Alarm.DriveFault","DB70.DBX92.2",Boolean,1,RO,100,,,,,,,,,,"M5047驱动器故障",
"M5047.Alarm.EstopFault","DB70.DBX93.3",Boolean,1,RO,100,,,,,,,,,,"M5047急停故障",
"M5047.Alarm.F_Fault","DB50.DBX1392.3",Boolean,1,RO,100,,,,,,,,,,"M5047前超长",
"M5047.Alarm.H_Fault","DB50.DBX1392.2",Boolean,1,RO,100,,,,,,,,,,"M5047超高",
"M5047.Alarm.L_Fault","DB50.DBX1392.5",Boolean,1,RO,100,,,,,,,,,,"M5047左超宽",
"M5047.Alarm.LS_Fault","DB70.DBX93.2",Boolean,1,RO,100,,,,,,,,,,"M5047限位故障",
"M5047.Alarm.NoRead","DB50.DBX1393.1",Boolean,1,RO,100,,,,,,,,,,"M5047条码未读出",
"M5047.Alarm.OutSideFault","DB70.DBX93.1",Boolean,1,RO,100,,,,,,,,,,"M5047货物超边故障",
"M5047.Alarm.PH_Fault","DB70.DBX92.6",Boolean,1,RO,100,,,,,,,,,,"M5047光电管异常",
"M5047.Alarm.QF_Fault","DB70.DBX92.4",Boolean,1,RO,100,,,,,,,,,,"M5047空开故障",
"M5047.Alarm.QS_Fault","DB70.DBX92.5",Boolean,1,RO,100,,,,,,,,,,"M5047隔离开关故障",
"M5047.Alarm.R_Fault","DB50.DBX1392.6",Boolean,1,RO,100,,,,,,,,,,"M5047右超宽",
"M5047.Alarm.RFID_ReadFault","DB50.DBX1393.3",Boolean,1,RO,100,,,,,,,,,,"M5047RFID读取错误",
"M5047.Alarm.RFID_WriteFault","DB50.DBX1393.2",Boolean,1,RO,100,,,,,,,,,,"M5047RFID写入错误",
"M5047.Alarm.TimeOutFault","DB70.DBX92.3",Boolean,1,RO,100,,,,,,,,,,"M5047超时故障",
"M5047.Alarm.TM_JY_Fault","DB50.DBX1393.0",Boolean,1,RO,100,,,,,,,,,,"M5047条码校验故障",
"M5047.Alarm.TotalFault","DB70.DBX92.1",Boolean,1,RO,100,,,,,,,,,,"M5047总故障",
"M5047.Alarm.WX_Fault","DB50.DBX1392.1",Boolean,1,RO,100,,,,,,,,,,"M5047外形故障",
"M5047.Alarm.WX_TM_Fault","DB50.DBX1392.0",Boolean,1,RO,100,,,,,,,,,,"M5047外形条码总故障",
"M5047.State.Allow","DB50.DBB1399",Byte,1,RO,100,,,,,,,,,,"M5047允许拆盘",
"M5047.State.ForwardRun","DB70.DBX93.6",Boolean,1,RO,100,,,,,,,,,,"M5047正转运行",
"M5047.State.Get_Num","DB50.DBB1398",Byte,1,RO,100,,,,,,,,,,"M5047已取数量",
"M5047.State.LastOne","DB50.DBX1393.4",Boolean,1,RO,100,,,,,,,,,,"M5047强制推盘",
"M5047.State.Load","DB70.DBX93.5",Boolean,1,RO,100,,,,,,,,,,"M5047负载",
"M5047.State.M5047_2_RF","Q377.0",Boolean,1,RO,100,,,,,,,,,,"5047.2正转",
"M5047.State.MD_State1","DB50.DINT1400",Long,1,RO,100,,,,,,,,,,"M5047码垛状态1",
"M5047.State.MD_State2","DB50.DBB1404",Byte,1,RO,100,,,,,,,,,,"M5047码垛状态2",
"M5047.State.Need_Num","DB50.DBB1397",Byte,1,RO,100,,,,,,,,,,"M5047要取数量",
"M5047.State.PR5047_1","I154.4",Boolean,1,RO,100,,,,,,,,,,"5047高位",
"M5047.State.PR5047_2","I154.6",Boolean,1,RO,100,,,,,,,,,,"5047低位",
"M5047.State.ReversalRun","DB70.DBX93.7",Boolean,1,RO,100,,,,,,,,,,"M5047反转运行",
"M5047.State.Runing","DB70.DBX92.0",Boolean,1,RO,100,,,,,,,,,,"M5047设备运行标志",
"M5047.State.SelectPlace","DB70.DBX92.7",Boolean,1,RO,100,,,,,,,,,,"M5047选中位",
"M5047.State.YX_DX","DB50.DBB1395",Byte,1,RO,100,,,,,,,,,,"M5047码垛垛型",
"M5047.State.YX_Num","DB50.DBB1396",Byte,1,RO,100,,,,,,,,,,"M5047烟箱数量",
"M5047.State.YX_Type","DB50.DBB1394",Byte,1,RO,100,,,,,,,,,,"M5047烟箱类型",
"M5047.Task.Code","DB50.DINT1382",Long,1,RO,100,,,,,,,,,,"M5047托盘条码",
"M5047.Task.DestSta","DB50.DBW1390",Short,1,RO,100,,,,,,,,,,"M5047目标地址",
"M5047.Task.StartSta","DB50.DBW1388",Short,1,RO,100,,,,,,,,,,"M5047起始地址",
"M5047.Task.Task","DB50.DBW1380",Short,1,RO,100,,,,,,,,,,"M5047任务号",
"M5047.Task.TpType","DB50.DBW1386",Short,1,RO,100,,,,,,,,,,"M5047货物类型",
"M5048.Alarm.B_Fault","DB50.DBX1422.4",Boolean,1,RO,100,,,,,,,,,,"M5048后超长",
"M5048.Alarm.DriveFault","DB70.DBX94.2",Boolean,1,RO,100,,,,,,,,,,"M5048驱动器故障",
"M5048.Alarm.EstopFault","DB70.DBX95.3",Boolean,1,RO,100,,,,,,,,,,"M5048急停故障",
"M5048.Alarm.F_Fault","DB50.DBX1422.3",Boolean,1,RO,100,,,,,,,,,,"M5048前超长",
"M5048.Alarm.H_Fault","DB50.DBX1422.2",Boolean,1,RO,100,,,,,,,,,,"M5048超高",
"M5048.Alarm.L_Fault","DB50.DBX1422.5",Boolean,1,RO,100,,,,,,,,,,"M5048左超宽",
"M5048.Alarm.LS_Fault","DB70.DBX95.2",Boolean,1,RO,100,,,,,,,,,,"M5048限位故障",
